epoch,train_loss,val_loss,val_Q8,val_Q3
1,0.4371698076526324,1.9452675302823386,0.2155755659555108,0.5539398989369724
2,0.4160926838715871,1.811825962861379,0.3298146155438719,0.6154774167329089
3,0.40400106414701,1.762781302134196,0.3662627383121912,0.6356925782318316
4,0.39787872609767044,1.7539958198865255,0.3727242288001513,0.6450474260110776
5,0.39361541853709653,1.7197459975878397,0.3846273780099734,0.6469720709230372
6,0.38884562050754373,1.7033047556877137,0.40306358484923616,0.6548546803632543
7,0.38376809295379755,1.6544986367225647,0.4290526810840377,0.657111601289231
8,0.3790849093912226,1.6506038069725038,0.44495592230875597,0.652615651222648
9,0.37376966508048953,1.653400977452596,0.43775320071260426,0.650892927888437
10,0.36934658535050624,1.6330667018890381,0.4594712721826189,0.6622465436904619
11,0.3645153623638731,1.6312040527661642,0.45963741018962734,0.6628395285770152
12,0.3603810250307574,1.6128921548525492,0.4684299447143832,0.6593889699699162
13,0.3566987052785628,1.5896331111590067,0.48540413709197144,0.6576202391876107
14,0.35334077071059833,1.5928913036982217,0.48783741990231083,0.6647922891516993
15,0.3502183769914237,1.612567925453186,0.48125579885543696,0.6669699750281796
16,0.3466520707941417,1.5928464770317077,0.4900738930735787,0.662734733834133
17,0.3430163131067247,1.5802313963572183,0.4984370247494511,0.6726825664999323
18,0.3393509015440941,1.5592312534650168,0.5068257161187094,0.6751235172182874
19,0.33652269535444,1.6065159122149149,0.48564951014847624,0.6660958335143812
20,0.33327210265578644,1.60562051932017,0.48921764334515044,0.6601557607714937
